Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2,resistance_level_3
2010-04-21,93.14,93.45,92.74,92.89,0,94.61211975511195,93.276,91.93988024488804,52.89678389433195,93.45,92.74,80.38,90.9,91.74,94.61
2010-04-22,92.9,93.63,92.8,93.37,0,94.60492503537509,93.271,91.93707496462491,56.767847541940675,93.63,92.8,80.38,90.9,91.74,94.61
2010-04-23,93.38,94.33,93.33,93.96,0,94.66568796731384,93.299,91.93231203268617,61.00949059047,94.33,93.33,80.38,90.9,91.74,94.61
2010-04-25,94.0,94.36,93.93,94.19,0,94.72842719982266,93.32050000000001,91.91257280017736,62.551961020442974,94.36,93.93,80.38,90.9,91.74,94.61
2010-04-26,94.2,94.33,93.74,93.86,0,94.58771606106478,93.28299999999999,91.97828393893519,58.94864344162021,94.33,93.74,80.38,90.9,91.74,94.61
2010-04-27,93.87,94.03,92.81,93.26,0,94.43081227772458,93.227,92.02318772227542,52.97357495755005,94.03,92.81,80.38,90.9,91.74,94.61
2010-04-28,93.25,94.32,93.09,93.86,0,94.3998561672219,93.218,92.03614383277811,57.601672278769215,94.32,93.09,80.38,90.9,91.74,94.61
2010-04-29,93.85,94.26,93.85,93.97,0,94.38116265990675,93.213,92.04483734009324,58.40979569288462,94.26,93.85,80.38,90.9,91.74,94.61
2010-04-30,93.96,94.58,93.83,93.84,0,94.44373997182741,93.244,92.04426002817259,57.0264191264748,94.58,93.83,80.38,90.9,91.74,94.61
2010-05-02,93.9,94.14,93.84,93.91,0,94.48704759385865,93.26050000000001,92.03395240614137,57.60861841397388,94.14,93.84,80.38,90.9,91.74,94.61
2010-05-03,93.92,94.98,93.9,94.84,0,94.74868005963664,93.3435,91.93831994036337,64.49152318358503,94.98,93.9,80.38,90.9,91.74,94.61
2010-05-04,94.83,94.96,94.32,94.71,0,94.94385883922199,93.4235,91.90314116077802,62.95282133534545,94.96,94.32,80.38,90.9,91.74,94.61
2010-05-05,94.7,94.98,93.54,93.92,0,94.97671067057068,93.4885,92.00028932942932,54.450760414318516,94.98,93.54,80.38,90.9,91.74,94.61
2010-05-06,93.93,93.98,88.26,92.75,0,94.98442325234197,93.4665,91.94857674765802,44.80056772064081,93.98,88.26,80.38,90.9,91.74,94.61
2010-05-07,92.74,93.11,90.84,91.6,0,95.09863054657708,93.376,91.65336945342293,37.72367389273981,93.11,90.84,80.38,90.9,91.74,94.61
2010-05-09,92.44,92.88,91.69,92.6,0,95.10227914296264,93.37049999999999,91.63872085703734,45.7488561619883,92.88,91.69,80.38,90.9,91.74,94.61
2010-05-10,92.61,93.54,92.57,92.94,0,95.06488526172572,93.409,91.75311473827429,48.19330745464279,93.54,92.57,80.38,90.9,91.74,94.61
2010-05-11,92.93,93.14,92.21,92.7,0,95.00486502139738,93.4445,91.88413497860263,46.59724551289499,93.14,92.21,80.38,90.9,91.74,94.61
2010-05-12,92.71,93.28,92.45,93.21,0,94.99070922647678,93.47549999999998,91.96029077352318,50.35945656133354,93.28,92.45,80.38,90.9,91.74,94.61
2010-05-13,93.22,93.64,92.51,92.75,0,94.9978666014289,93.4565,91.91513339857111,47.134035206405336,93.64,92.51,80.38,90.9,91.74,94.61
2010-05-14,92.76,93.09,91.8,92.45,0,95.0195233436768,93.43449999999999,91.84947665632318,45.105050820183074,93.09,91.8,80.38,90.9,91.74,94.61
2010-05-16,92.25,92.41,91.76,91.78,0,95.09674050880159,93.35499999999999,91.61325949119839,40.87328295569012,92.41,91.76,80.38,90.9,91.74,94.61
2010-05-17,91.77,92.69,91.76,92.47,0,95.0397325031105,93.28049999999999,91.52126749688948,46.445773988318784,92.69,91.76,80.38,90.9,91.74,94.61
2010-05-18,92.46,92.97,91.55,91.97,0,94.96495509551212,93.1695,91.37404490448787,43.26380514216504,92.97,91.55,80.38,90.9,91.74,94.61
2010-05-19,91.98,92.15,90.94,91.72,0,94.9340541669961,93.0625,91.1909458330039,41.72459971693677,92.15,90.94,80.38,90.9,91.74,94.61
2010-05-20,91.71,91.79,88.96,90.28,0,95.13938656494452,92.9135,90.68761343505548,34.18121106097958,91.79,88.96,80.38,90.9,91.74,94.61
2010-05-21,90.29,90.46,89.21,89.96,0,95.24197597571298,92.71849999999999,90.19502402428701,32.76365945555078,90.46,89.21,80.38,90.9,91.74,94.61
2010-05-23,90.3,90.37,89.73,90.15,0,95.21603026763707,92.5275,89.83896973236294,34.500569248587766,90.37,89.73,80.38,90.9,91.74,94.61
2010-05-24,90.16,90.61,89.88,89.93,0,95.17456644601329,92.332,89.4894335539867,33.42389574147471,90.61,89.88,80.38,90.9,91.74,94.61
