Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1
2000-08-09,108.59,108.67,107.53,107.6,0,109.74694772703522,108.77849999999998,107.81005227296474,40.94226970752857,108.67,107.53,104.58
2000-08-10,107.6,109.01,107.55,108.73,0,109.73699785407462,108.80499999999999,107.87300214592537,53.71637698830822,109.01,107.55,104.58
2000-08-11,108.74,108.98,108.33,108.64,0,109.71164260208202,108.8315,107.95135739791799,52.73795580173353,108.98,108.33,104.58
2000-08-13,108.69,108.86,108.66,108.78,0,109.69933247592604,108.857,108.01466752407396,54.137376330933066,108.86,108.66,104.58
2000-08-14,108.78,109.66,108.62,109.44,0,109.76091514656031,108.8815,108.0020848534397,60.130786378902044,109.66,108.62,104.58
2000-08-15,109.45,109.65,108.91,109.1,0,109.78100269121383,108.89849999999998,108.01599730878614,56.06602961229032,109.65,108.91,104.58
2000-08-16,109.08,109.22,108.31,108.55,0,109.780726773937,108.88600000000001,107.99127322606302,50.159172100880866,109.22,108.31,104.58
2000-08-17,108.54,109.16,108.27,108.98,0,109.77050547443555,108.88,107.98949452556444,54.220071682946056,109.16,108.27,104.58
2000-08-18,108.97,109.08,108.1,108.42,0,109.74030862333224,108.84100000000001,107.94169137666778,48.6596211584438,109.08,108.1,104.58
2000-08-20,108.23,108.36,108.05,108.29,0,109.7286653906193,108.80350000000001,107.87833460938073,47.44325486093059,108.36,108.05,104.58
2000-08-21,108.31,108.84,107.88,108.42,0,109.6073667336268,108.74450000000002,107.88163326637323,48.82101003011665,108.84,107.88,104.58
2000-08-22,108.44,108.61,107.39,107.51,0,109.58903110059954,108.6445,107.69996889940045,40.765096656145566,108.61,107.39,104.58
2000-08-23,107.5,107.65,106.59,107.19,0,109.59209267141397,108.5305,107.46890732858604,38.36755884665917,107.65,106.59,104.58
2000-08-24,107.18,107.41,106.71,106.94,0,109.69705678982321,108.43800000000002,107.17894321017683,36.55855010464319,107.41,106.71,104.58
2000-08-25,106.93,107.32,106.69,106.9,0,109.7340924406769,108.3345,106.93490755932311,36.26393427165214,107.32,106.69,104.58
2000-08-27,106.76,106.85,106.24,106.35,0,109.8718134404125,108.229,106.5861865595875,32.397854973852674,106.85,106.24,104.58
2000-08-28,106.36,106.69,106.14,106.63,0,109.89937859549998,108.1285,106.35762140450002,36.130927873069844,106.69,106.14,104.58
2000-08-29,106.65,106.77,106.03,106.4,0,109.91243552522185,108.0125,106.11256447477815,34.44815150252569,106.77,106.03,104.58
2000-08-30,106.39,106.82,105.96,106.56,0,109.86736138880647,107.90150000000001,105.93563861119355,36.65826253351835,106.82,105.96,104.58
2000-08-31,106.55,106.82,106.3,106.52,0,109.8236971769796,107.79750000000001,105.77130282302042,36.32850000258444,106.82,106.3,104.58
2000-09-01,106.51,106.68,105.58,105.84,0,109.90792193402453,107.7095,105.51107806597548,31.191604301107702,106.68,105.58,104.58
2000-09-03,105.77,105.99,105.68,105.86,0,109.85216184903872,107.566,105.27983815096128,31.498407382176453,105.99,105.68,104.58
2000-09-04,105.87,106.43,105.63,106.27,0,109.74436634352116,107.44750000000002,105.15063365647887,37.637193217262144,106.43,105.63,104.58
2000-09-05,106.28,106.55,105.65,105.89,0,109.60997290838021,107.303,104.99602709161978,34.54705915950517,106.55,105.65,104.58
2000-09-06,105.88,106.35,105.59,106.3,0,109.27000000000008,107.146,105.02199999999992,40.24741220614903,106.35,105.59,104.58
2000-09-07,106.29,106.46,104.81,105.38,0,109.01745473826288,106.96,104.9025452617371,33.249794542500794,106.46,104.81,104.58
2000-09-08,105.36,106.3,105.28,106.12,0,108.7903122348219,106.8385,104.8866877651781,41.98688809753276,106.3,105.28,104.58
2000-09-10,106.04,106.32,105.92,106.25,0,108.40114802180402,106.702,105.00285197819598,43.38877584918563,106.32,105.92,104.58
2000-09-11,106.24,106.57,105.95,106.19,0,108.10690990500608,106.59049999999999,105.0740900949939,42.87381783791524,106.57,105.95,104.58
2000-09-12,106.2,107.09,106.17,106.89,0,107.83205594619542,106.5205,105.20894405380457,50.28686920168479,107.09,106.17,104.58
2000-09-13,106.88,107.37,106.88,107.19,0,107.49489381695258,106.45899999999999,105.4231061830474,53.09604654555501,107.37,106.88,104.58
2000-09-14,107.2,107.69,106.99,107.47,0,107.48489299053968,106.457,105.42910700946031,55.61689745086124,107.69,106.99,104.58
2000-09-15,107.46,107.81,107.14,107.16,0,107.47918891759197,106.4555,105.43181108240803,52.267564516698805,107.81,107.14,104.58
2000-09-17,107.13,107.22,107.1,107.17,0,107.51703047574851,106.46700000000001,105.41696952425151,52.36721525561506,107.22,107.1,104.58
2000-09-18,107.16,107.21,106.73,106.94,0,107.52246855672138,106.46900000000001,105.41553144327864,49.792420098145506,107.21,106.73,104.58
2000-09-19,106.92,107.41,106.74,107.01,0,107.57956391921806,106.502,105.42443608078193,50.58869750462612,107.41,106.74,104.58
2000-09-20,107.0,107.03,106.44,106.59,0,107.5767543823921,106.5,105.4232456176079,45.88635165107524,107.03,106.44,104.58
2000-09-21,106.58,106.98,106.35,106.92,0,107.6168602110264,106.526,105.43513978897359,49.83215846878275,106.98,106.35,104.58
2000-09-22,106.91,108.18,106.77,108.01,0,107.86703104021959,106.59850000000002,105.32996895978044,60.16445777191512,108.18,106.77,104.58
2000-09-24,107.93,108.16,107.71,107.82,0,108.03807302461547,106.6635,105.28892697538453,57.924967662905296,108.16,107.71,104.58
