Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,support_level_3,resistance_level_1
2016-09-08,101.67,102.596,101.411,102.206,0,104.37397517023456,101.7471,99.12022482976545,50.1699006586787,102.596,101.411,116.95,111.749,111.248,121.248
2016-09-09,102.205,103.054,101.998,102.661,0,104.40010816774189,101.88365,99.36719183225811,53.26170467906784,103.054,101.998,116.95,111.749,111.248,121.248
2016-09-11,102.552,102.664,102.3,102.514,0,104.41707979733194,101.99340000000001,99.56972020266808,52.1361926553889,102.664,102.3,116.95,111.749,111.248,121.248
2016-09-12,102.512,102.593,101.42,101.717,0,104.35446210009377,102.06935,99.78423789990623,46.40992535888729,102.593,101.42,116.95,111.749,111.248,121.248
2016-09-13,101.716,103.193,101.714,102.906,0,104.41260700596995,102.17255,99.93249299403006,54.447936056076216,103.193,101.714,116.95,111.749,111.248,121.248
2016-09-14,102.904,103.356,101.941,102.23,0,104.34160704709616,102.2677,100.19379295290385,49.8682291086131,103.356,101.941,116.95,111.749,111.248,121.248
2016-09-15,102.232,102.752,101.736,101.987,0,104.22645310440565,102.3521,100.47774689559434,48.29566388117871,102.752,101.736,116.95,111.749,111.248,121.248
2016-09-16,101.988,102.461,101.772,102.225,0,104.10763530626122,102.4395,100.77136469373878,49.96006064890329,102.461,101.772,116.95,111.749,111.248,121.248
2016-09-18,102.115,102.414,102.0,102.043,0,103.93953611006482,102.51765,101.09576388993518,48.6698256965252,102.414,102.0,116.95,111.749,111.248,121.248
2016-09-19,102.044,102.155,101.579,101.926,0,103.93386444233911,102.5242,101.11453555766087,47.814938902872534,102.155,101.579,116.95,111.749,111.248,121.248
2016-09-20,101.927,102.005,101.199,101.924,0,103.93792392626395,102.5127,101.08747607373604,47.79948277038686,102.005,101.199,116.95,111.749,111.248,121.248
2016-09-21,101.922,102.783,100.097,100.39,0,104.12117776057063,102.4278,100.73442223942938,37.72639567180734,102.783,100.097,116.95,111.749,111.248,121.248
2016-09-22,100.39,101.244,100.193,101.163,0,104.09011221369659,102.3347,100.57928778630341,44.11721118786412,101.244,100.193,116.95,111.749,111.248,121.248
2016-09-23,101.164,101.199,100.674,101.029,0,104.0129019780932,102.22330000000001,100.43369802190682,43.28787890383036,101.199,100.674,116.95,111.749,111.248,121.248
2016-09-25,101.039,101.056,100.706,100.882,0,103.90522542238595,102.10075,100.29627457761406,42.34740967457511,101.056,100.706,116.95,111.749,111.248,121.248
2016-09-26,100.883,101.078,100.082,100.778,0,103.62361489078106,101.94245000000001,100.26128510921896,41.65784380168259,101.078,100.082,116.95,111.749,111.248,121.248
2016-09-27,100.777,100.987,100.188,100.564,0,103.37582731234811,101.78775,100.1996726876519,40.20701599872685,100.987,100.188,116.95,111.749,111.248,121.248
