Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,resistance_level_1,resistance_level_2
2020-03-16,106.782,107.188,105.146,106.588,0,111.90305556039193,107.19655,102.49004443960807,46.26109733252791,107.188,105.146,102.816,110.186,111.975
2020-03-17,106.589,107.862,106.227,107.222,0,111.23895116794989,106.97935,102.7197488320501,49.443317474622994,107.862,106.227,102.816,110.186,111.975
2020-03-18,107.222,109.557,106.751,109.067,0,110.89730409046443,106.89195,102.88659590953556,57.35703610386624,109.557,106.751,102.816,110.186,111.975
2020-03-19,109.07,111.361,108.45,109.941,0,110.7791794943642,106.86489999999999,102.95062050563578,60.510470104209794,111.361,108.45,102.816,110.186,111.975
2020-03-20,109.941,111.503,109.329,110.659,0,110.92431314127484,106.8973,102.87028685872517,62.935369541102624,111.503,109.329,102.816,110.186,111.975
2020-03-22,110.749,111.25,109.994,110.081,0,111.1235124812452,106.95374999999999,102.78398751875477,59.754328885952376,111.25,109.994,102.816,110.186,111.975
2020-03-23,110.082,111.596,109.667,110.283,0,111.4653446462449,107.0682,102.67105535375511,60.50563645971111,111.596,109.667,102.816,110.186,111.975
2020-03-24,110.291,111.713,110.176,111.319,0,111.98438965482589,107.22795,102.47151034517412,64.19718695312244,111.713,110.176,102.816,110.186,111.975
2020-03-25,111.319,111.679,110.454,110.725,0,112.36524415398374,107.37359999999998,102.38195584601623,60.69424775066098,111.679,110.454,102.816,110.186,111.975
2020-03-26,110.725,110.746,108.258,108.346,0,112.43233464845142,107.42275,102.41316535154857,49.13132210590572,110.746,108.258,102.816,110.186,111.975
2020-03-27,108.346,109.069,107.755,107.9,0,112.46483846323208,107.4512,102.43756153676792,47.31156826796805,109.069,107.755,102.816,110.186,111.975
2020-03-29,107.69,107.975,107.12,107.351,0,112.4863130780109,107.52655,102.5667869219891,45.09731619818221,107.975,107.12,102.816,110.186,111.975
2020-03-30,107.35,108.72,107.323,108.395,0,112.54492103203515,107.68215000000001,102.81937896796487,49.89925616791002,108.72,107.323,102.816,110.186,111.975
2020-03-31,108.391,108.727,107.254,107.789,0,112.25117440970111,107.9308,103.6104255902989,47.31249794202899,108.727,107.254,102.816,110.186,111.975
2020-04-01,107.79,107.828,106.915,107.432,0,112.07407090358078,108.09124999999999,104.1084290964192,45.80601387556977,107.828,106.915,102.816,110.186,111.975
2020-04-02,107.434,108.199,107.013,107.987,0,111.88327440783327,108.2689,104.65452559216673,48.54881007098044,108.199,107.013,102.816,110.186,111.975
2020-04-03,107.988,108.677,107.823,108.509,0,111.53737029164424,108.49325000000002,105.4491297083558,51.05774073321509,108.677,107.823,102.816,110.186,111.975
2020-04-05,108.344,109.086,108.344,108.856,0,111.394914433907,108.65664999999998,105.91838556609297,52.70863309444025,109.086,108.344,102.816,110.186,111.975
2020-04-06,108.857,109.381,108.717,108.778,0,111.41694021433254,108.70060000000001,105.98425978566748,52.28172492687739,109.381,108.717,102.816,110.186,111.975
2020-04-07,108.778,109.145,108.503,108.852,0,111.37414614370469,108.804,106.23385385629531,52.673358751905475,109.145,108.503,102.816,110.186,111.975
2020-04-08,108.851,109.102,108.596,108.965,0,111.28340139956752,108.92285000000001,106.5622986004325,53.303604928579055,109.102,108.596,102.816,110.186,111.975
2020-04-09,108.964,108.999,108.207,108.382,0,111.22554875707189,108.98085,106.73615124292812,49.631329556813014,108.999,108.207,102.816,110.186,111.975
2020-04-10,108.382,108.477,108.327,108.338,0,111.20593155184713,108.9444,106.68286844815287,49.35496755203423,108.477,108.327,102.816,110.186,111.975
2020-04-12,108.383,108.526,107.994,108.057,0,111.0947230762904,108.85020000000002,106.60567692370962,47.534553534805504,108.526,107.994,102.816,110.186,111.975
2020-04-13,108.058,108.087,107.5,107.617,0,110.84173036925681,108.6981,106.55446963074318,44.7511598599238,108.087,107.5,102.816,110.186,111.975
2020-04-14,107.618,107.758,106.926,107.101,0,110.7017751636046,108.5491,106.3964248363954,41.66962875031304,107.758,106.926,102.816,110.186,111.975
2020-04-15,107.101,108.006,106.992,107.962,0,110.44496336543105,108.43305000000001,106.42113663456897,48.092516978655155,108.006,106.992,102.816,110.186,111.975
2020-04-16,107.963,108.083,107.163,107.781,0,109.78648111123054,108.25615,106.72581888876947,46.92280300491794,108.083,107.163,102.816,110.186,111.975
2020-04-17,107.781,107.931,107.3,107.506,0,109.15905837403298,108.09520000000002,107.03134162596706,45.12692546427625,107.931,107.3,102.816,110.186,111.975
2020-04-19,107.472,107.889,107.381,107.844,0,109.13279222261201,108.0701,107.00740777738798,47.77273597288674,107.889,107.381,102.816,110.186,111.975
2020-04-20,107.843,107.949,107.482,107.551,0,109.13717888850417,108.05265000000001,106.96812111149586,45.71498131819052,107.949,107.482,102.816,110.186,111.975
2020-04-21,107.549,107.892,107.281,107.72,0,109.11919825875252,108.0711,107.02300174124748,47.1295697135594,107.892,107.281,102.816,110.186,111.975
2020-04-22,107.72,107.938,107.514,107.782,0,109.08471327619048,108.04045,106.99618672380953,47.668340789168,107.938,107.514,102.816,110.186,111.975
2020-04-23,107.783,108.042,107.347,107.668,0,109.08579800266122,108.03439999999998,106.98300199733873,46.725489642492,108.042,107.347,102.816,110.186,111.975
2020-04-24,107.667,107.737,107.368,107.491,0,109.08228182074241,108.03734999999999,106.99241817925757,45.229635380600975,107.737,107.368,102.816,110.186,111.975
2020-04-26,107.533,107.622,107.296,107.354,0,109.09232874984977,108.0057,106.91907125015024,44.05405245207473,107.622,107.296,102.816,110.186,111.975
2020-04-27,107.354,107.397,106.993,107.278,0,109.04907339553476,107.94415,106.83922660446522,43.38045261794538,107.397,106.993,102.816,110.186,111.975
2020-04-28,107.279,107.304,106.51,106.53,0,109.01124465521866,107.82785000000001,106.64445534478136,37.330492454257794,107.304,106.51,102.816,110.186,111.975
2020-04-29,106.529,106.876,106.357,106.546,0,108.94045404753457,107.71624999999999,106.4920459524654,37.53118201971402,106.876,106.357,102.816,110.186,111.975
2020-04-30,106.544,107.499,106.405,107.108,0,108.76230557135189,107.62905,106.49579442864813,44.28073354631041,107.499,106.405,102.816,110.186,111.975
2020-05-01,107.108,107.166,106.605,106.871,0,108.52354733286276,107.52435,106.52515266713723,42.20954783021754,107.166,106.605,102.816,110.186,111.975
2020-05-03,106.831,106.943,106.668,106.764,0,108.41336225891834,107.44345000000001,106.47353774108169,41.27097267247017,106.943,106.668,102.816,110.186,111.975
2020-05-04,106.764,107.069,106.509,106.621,0,108.29913585168069,107.3576,106.41606414831932,39.99112318092301,107.069,106.509,102.816,110.186,111.975
2020-05-05,106.621,106.894,106.205,106.367,0,108.25103371963546,107.2731,106.29516628036454,37.751715079663704,106.894,106.205,102.816,110.186,111.975
2020-05-06,106.366,106.435,105.986,106.176,0,108.27467087815019,107.20104999999998,106.12742912184977,36.11403166186157,106.435,105.986,102.816,110.186,111.975
2020-05-07,106.177,106.655,106.135,106.368,0,108.29757313769787,107.1644,106.03122686230213,38.97966359075824,106.655,106.135,102.816,110.186,111.975
2020-05-08,106.369,106.747,106.274,106.608,0,108.19234193055945,107.09670000000001,106.00105806944057,42.45439909138919,106.747,106.274,102.816,110.186,111.975
2020-05-10,106.516,107.01,106.486,106.912,0,108.1049387134509,107.05325,106.0015612865491,46.602196818555555,107.01,106.486,102.816,110.186,111.975
2020-05-11,106.914,107.768,106.884,107.401,0,108.09161314671674,107.048,106.00438685328326,52.529403698252516,107.768,106.884,102.816,110.186,111.975
2020-05-12,107.399,107.632,107.088,107.216,0,107.99848907723836,107.0166,106.03471092276163,50.25657283806577,107.632,107.088,102.816,110.186,111.975
2020-05-13,107.216,107.236,106.742,106.906,0,107.93580977844573,106.98434999999999,106.03289022155425,46.616741897720495,107.236,106.742,102.816,110.186,111.975
2020-05-14,106.906,107.433,106.775,107.224,0,107.85736166733341,106.95955,106.06173833266658,50.57146593095253,107.433,106.775,102.816,110.186,111.975
2020-05-15,107.225,107.372,106.855,107.034,0,107.73841865062921,106.92215000000002,106.10588134937082,48.27053094797162,107.372,106.855,102.816,110.186,111.975
2020-05-17,107.084,107.282,107.068,107.135,0,107.64467034111075,106.8955,106.14632965888924,49.58370469013615,107.282,107.068,102.816,110.186,111.975
2020-05-18,107.135,107.505,107.088,107.364,0,107.61995045840162,106.88915,106.15834954159838,52.52633511503941,107.505,107.088,102.816,110.186,111.975
2020-05-19,107.364,108.088,107.347,107.788,0,107.7174198419852,106.91085000000001,106.10428015801482,57.475368748558864,108.088,107.347,102.816,110.186,111.975
2020-05-20,107.787,107.817,107.336,107.645,0,107.78362579549075,106.9292,106.07477420450924,55.37853511926307,107.817,107.336,102.816,110.186,111.975
2020-05-21,107.645,107.848,107.497,107.556,0,107.85584004820986,106.9805,106.10515995179016,54.05672049058301,107.848,107.497,102.816,110.186,111.975
2020-05-22,107.558,107.651,107.322,107.597,0,107.92379720880844,107.03305,106.14230279119157,54.59439211618375,107.651,107.322,102.816,110.186,111.975
2020-05-24,107.56,107.78,107.541,107.722,0,108.00367954523199,107.06375,106.12382045476801,56.27451333636512,107.78,107.541,102.816,110.186,111.975
2020-05-25,107.724,107.922,107.651,107.821,0,108.102056514916,107.11125,106.120443485084,57.61228201610598,107.922,107.651,102.816,110.186,111.975
2020-05-26,107.823,107.897,107.365,107.524,0,108.1421636669419,107.14925000000001,106.15633633305812,52.42987919402688,107.897,107.365,102.816,110.186,111.975
2020-05-27,107.526,107.947,107.459,107.787,0,108.20645809887597,107.20755000000001,106.20864190112405,56.18817864013935,107.947,107.459,102.816,110.186,111.975
2020-05-28,107.788,107.89,107.376,107.393,0,108.18235642120125,107.25884999999998,106.33534357879871,49.8359642413898,107.89,107.376,102.816,110.186,111.975
2020-05-29,107.393,107.894,107.079,107.767,0,108.1413207681957,107.33840000000001,106.53547923180432,55.03276901669096,107.894,107.079,102.816,110.186,111.975
2020-05-31,107.678,107.856,107.616,107.633,0,108.07818685043753,107.40164999999999,106.72511314956245,52.917520965443295,107.856,107.616,102.816,110.186,111.975
2020-06-01,107.634,107.763,107.376,107.722,0,108.04030875497322,107.45734999999999,106.87439124502676,54.1772890716924,107.763,107.376,102.816,110.186,111.975
2020-06-02,107.722,108.848,107.681,108.58,0,108.2511062134591,107.54075,106.83039378654091,64.13903074537008,108.848,107.681,102.816,110.186,111.975
2020-06-03,108.581,109.04,108.471,108.913,0,108.54071600435103,107.61634999999998,106.69198399564894,67.12611301038983,109.04,108.471,102.816,110.186,111.975
2020-06-04,108.914,109.236,108.615,109.21,0,108.85208705485336,107.71605,106.58001294514663,69.56138226362394,109.236,108.615,102.816,110.186,111.975
2020-06-05,109.209,109.849,109.088,109.581,0,109.18523829509263,107.8498,106.51436170490737,72.31984192465893,109.849,109.088,102.816,110.186,111.975
2020-06-07,109.563,109.693,109.378,109.514,0,109.44974324698047,107.96430000000001,106.47885675301954,71.06728630582782,109.693,109.378,102.816,110.186,111.975
2020-06-08,109.516,109.584,107.917,108.102,0,109.44101867127497,108.01770000000002,106.59438132872506,51.01439932675762,109.584,107.917,102.816,110.186,111.975
2020-06-09,108.102,108.247,107.616,107.687,0,109.41964698675403,108.0453,106.67095301324596,46.83180137625665,108.247,107.616,102.816,110.186,111.975
2020-06-10,107.686,107.687,106.897,106.98,0,109.44789251650862,108.0261,106.60430748349138,40.708392043937046,107.687,106.897,102.816,110.186,111.975
2020-06-11,106.978,107.234,106.571,107.067,0,109.46955389996103,107.99005,106.51054610003897,41.71827112691131,107.234,106.571,102.816,110.186,111.975
2020-06-12,107.068,107.552,107.063,107.379,0,109.473108496484,107.97675,106.48039150351599,45.31544053453063,107.552,107.063,102.816,110.186,111.975
2020-06-14,107.295,107.567,107.145,107.171,0,109.48460412218677,107.95749999999998,106.4303958778132,43.39262419280157,107.567,107.145,102.816,110.186,111.975
