Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2
2012-04-30,80.171,80.205,79.728,79.854,0,81.98840592700274,81.0073,80.02619407299726,35.84461936142462,80.205,79.728,76.651,76.152
2012-05-01,79.853,80.294,79.634,80.168,0,81.97034647033846,80.9444,79.91845352966155,39.80708104126026,80.294,79.634,76.651,76.152
2012-05-02,80.167,80.604,80.045,80.175,0,81.90932117852725,80.87429999999999,79.83927882147273,39.89620346117085,80.604,80.045,76.651,76.152
2012-05-03,80.176,80.545,80.128,80.148,0,81.92559063059213,80.84375,79.76190936940787,39.652332152419454,80.545,80.128,76.651,76.152
2012-05-04,80.146,80.384,79.793,79.839,0,81.95910352551208,80.79225,79.62539647448791,36.87432941896047,80.384,79.793,76.651,76.152
2012-05-06,79.84,79.974,79.635,79.787,0,81.96922318842275,80.7298,79.49037681157725,36.41201420622229,79.974,79.635,76.651,76.152
2012-05-07,79.786,80.07,79.717,79.978,0,81.9606286521555,80.6827,79.40477134784449,39.41658545553788,80.07,79.717,76.651,76.152
2012-05-08,79.98,80.013,79.703,79.781,0,81.96267487978743,80.62910000000001,79.29552512021259,37.45101518168295,80.013,79.703,76.651,76.152
2012-05-09,79.782,79.825,79.422,79.599,0,81.9926641215507,80.58664999999999,79.18063587844928,35.68076915416293,79.825,79.422,76.651,76.152
2012-05-10,79.604,80.011,79.598,79.883,0,81.90209965731243,80.51235,79.12260034268756,40.413881017810375,80.011,79.598,76.651,76.152
2012-05-11,79.884,79.984,79.719,79.933,0,81.78240487803996,80.4376,79.09279512196005,41.2337980300387,79.984,79.719,76.651,76.152
2012-05-13,79.978,80.116,79.883,80.018,0,81.61317245698605,80.3606,79.10802754301396,42.67784367792215,80.116,79.883,76.651,76.152
2012-05-14,80.019,80.176,79.674,79.834,0,81.42963880403902,80.27655000000001,79.12346119596101,40.36552602040229,80.176,79.674,76.651,76.152
2012-05-15,79.833,80.438,79.833,80.398,0,81.29457620299227,80.2329,79.17122379700773,49.413045482707005,80.438,79.833,76.651,76.152
2012-05-16,80.399,80.544,80.188,80.246,0,81.2246968114192,80.20230000000001,79.17990318858082,47.328993399060195,80.544,80.188,76.651,76.152
2012-05-17,80.248,80.367,79.126,79.408,0,81.00660858987273,80.10045,79.19429141012726,37.85077281078557,80.367,79.126,76.651,76.152
2012-05-18,79.407,79.456,78.991,79.007,0,80.88095017451032,79.99275,79.10454982548968,34.309946511185885,79.456,78.991,76.651,76.152
2012-05-20,79.116,79.244,79.098,79.186,0,80.5873440569006,79.8838,79.18025594309938,37.13690214035272,79.244,79.098,76.651,76.152
2012-05-21,79.185,79.44,79.172,79.352,0,80.5556900194456,79.8383,79.1209099805544,39.72737601069832,79.44,79.172,76.651,76.152
2012-05-22,79.351,80.14,79.339,79.542,0,80.51811360172583,79.8068,79.09548639827416,42.64088316648986,80.14,79.339,76.651,76.152
2012-05-23,79.543,79.639,79.205,79.499,0,80.51238214362434,79.78905,79.06571785637567,42.144365113385,79.639,79.205,76.651,76.152
2012-05-24,79.498,79.774,79.335,79.76,0,80.47078453839003,79.76865000000001,79.06651546160998,46.236527850208496,79.774,79.335,76.651,76.152
2012-05-25,79.761,79.813,79.491,79.674,0,80.42128027859764,79.7436,79.06591972140237,45.104467906558966,79.813,79.491,76.651,76.152
2012-05-27,79.704,79.72,79.365,79.384,0,80.37365755513886,79.7054,79.03714244486113,41.42152859527004,79.72,79.365,76.651,76.152
