Datetime,Open,High,Low,Close,Volume,bb_upper,bb_middle,bb_lower,rsi,tokyo_high,tokyo_low,support_level_1,support_level_2,resistance_level_1
2014-07-18,101.304,101.44,101.271,101.335,0,102.13648937590823,101.5788,101.02111062409178,42.47938606315682,101.44,101.271,101.264,101.156,121.533
2014-07-20,101.326,101.369,101.219,101.222,0,102.14248566420194,101.57355,101.00461433579805,40.304050775703104,101.369,101.219,101.264,101.156,121.533
2014-07-21,101.223,101.506,101.188,101.473,0,102.14234588757552,101.5779,101.01345411242448,46.818644510091175,101.506,101.188,101.264,101.156,121.533
2014-07-22,101.472,101.594,101.324,101.396,0,102.13929036276991,101.5826,101.02590963723009,45.18942002072949,101.594,101.324,101.264,101.156,121.533
2014-07-23,101.395,101.575,101.307,101.509,0,102.13992067801686,101.58455000000001,101.02917932198315,48.04666779465022,101.575,101.307,101.264,101.156,121.533
2014-07-24,101.508,101.849,101.407,101.745,0,102.1513961120909,101.59164999999999,101.03190388790908,53.498794723473196,101.849,101.407,101.264,101.156,121.533
2014-07-25,101.746,101.93,101.707,101.83,0,102.14847181323391,101.5906,101.03272818676608,55.3175776375088,101.93,101.707,101.264,101.156,121.533
2014-07-27,101.781,101.826,101.741,101.799,0,102.0898165393175,101.57505,101.06028346068251,54.48065288791002,101.826,101.741,101.264,101.156,121.533
2014-07-28,101.798,101.969,101.749,101.957,0,102.06814127502489,101.57015,101.07215872497511,57.9708795739325,101.969,101.749,101.264,101.156,121.533
2014-07-29,101.958,102.151,101.849,102.087,0,102.05517994368516,101.56775,101.08032005631485,60.64469740483568,102.151,101.849,101.264,101.156,121.533
2014-07-30,102.088,103.081,102.074,102.762,0,102.32228591903531,101.6146,100.90691408096468,70.97124283707079,103.081,102.074,101.264,101.156,121.533
2014-07-31,102.761,102.997,102.715,102.888,0,102.57731889363193,101.6778,100.77828110636808,72.42572170000194,102.997,102.715,101.264,101.156,121.533
2014-08-01,102.887,103.019,102.328,102.617,0,102.71680062493667,101.7327,100.74859937506332,64.89442449446685,103.019,102.328,101.264,101.156,121.533
2014-08-03,102.553,102.682,102.471,102.631,0,102.83400493173082,101.80115,100.7682950682692,65.09635002278134,102.682,102.471,101.264,101.156,121.533
2014-08-04,102.632,102.721,102.398,102.578,0,102.92154456571899,101.8669,100.81225543428101,63.60480095185736,102.721,102.398,101.264,101.156,121.533
2014-08-05,102.579,102.916,102.454,102.552,0,102.99463241116314,101.92635,100.85806758883686,62.844076427073674,102.916,102.454,101.264,101.156,121.533
2014-08-06,102.551,102.602,101.774,102.167,0,103.01663734915213,101.95545000000001,100.89426265084789,52.77795542494621,102.602,101.774,101.264,101.156,121.533
2014-08-07,102.168,102.451,101.592,101.772,0,103.01712312849384,101.95765,100.89817687150617,44.84192854236927,102.451,101.592,101.264,101.156,121.533
2014-08-08,101.773,102.074,101.502,102.033,0,103.02419898213915,101.9828,100.94140101786084,50.17332046861228,102.074,101.502,101.264,101.156,121.533
2014-08-10,102.171,102.182,102.045,102.134,0,103.01921326196138,102.02435,101.02948673803861,52.10265922738131,102.182,102.045,101.264,101.156,121.533
2014-08-11,102.135,102.352,102.014,102.277,0,103.01939777809771,102.07145,101.12350222190229,54.772866372467995,102.352,102.014,101.264,101.156,121.533
