position_id,strategy,order_type,entry_time,entry_price,exit_time,exit_price,lot_size,pnl_pips,pnl_amount,exit_reason
1442,aggressive_v2_5,BUY,2025-02-05 08:45:00,153.044,2025-02-05 09:45:00,152.786,0.39,-25.800000000000978,-10062.000000000382,sl
1443,aggressive_v2_5,BUY,2025-02-05 18:30:00,152.67700000000002,2025-02-05 19:00:00,152.558,0.39,-11.90000000000282,-4641.0000000011,sl
1444,aggressive_v2_5,SELL,2025-02-06 11:00:00,151.845,2025-02-06 11:30:00,151.962,0.39,-11.699999999999022,-4562.999999999619,sl
1445,aggressive_v2_5,SELL,2025-02-06 17:00:00,151.42,2025-02-06 18:00:00,151.257,0.39,16.29999999999825,6356.999999999317,tp
1446,aggressive_v2_5,SELL,2025-02-06 18:30:00,151.26999999999998,2025-02-06 19:15:00,151.045,0.39,22.49999999999943,8774.999999999778,tp
1447,aggressive_v2_5,BUY,2025-02-06 23:45:00,151.67600000000002,2025-02-07 01:45:00,151.834,0.39,15.799999999998704,6161.999999999494,tp
1448,aggressive_v2_5,BUY,2025-02-07 07:15:00,152.148,2025-02-07 07:30:00,152.054,0.39,-9.399999999999409,-3665.9999999997694,sl
1449,aggressive_v2_5,SELL,2025-02-07 10:15:00,151.53,2025-02-07 10:30:00,151.638,0.39,-10.80000000000041,-4212.00000000016,sl
1450,aggressive_v2_5,BUY,2025-02-09 20:45:00,152.00900000000001,2025-02-09 22:45:00,151.919,0.39,-9.000000000000341,-3510.000000000133,sl
1451,stable_v2_5,BUY,2025-02-10 02:45:00,152.169,2025-02-10 08:00:00,151.967,1.95,-20.199999999999818,-39389.99999999964,sl
1452,aggressive_v2_5,BUY,2025-02-11 08:00:00,152.36100000000002,2025-02-11 10:30:00,152.53,0.39,16.899999999998272,6590.999999999326,tp
1453,aggressive_v2_5,BUY,2025-02-11 10:15:00,152.51000000000002,2025-02-11 11:00:00,152.325,0.39,-18.50000000000307,-7215.000000001197,sl
1454,aggressive_v2_5,BUY,2025-02-11 14:45:00,152.489,2025-02-11 17:00:00,152.4,0.39,-8.899999999999864,-3470.999999999947,sl
1455,aggressive_v2_5,BUY,2025-02-11 22:15:00,153.56300000000002,2025-02-12 02:15:00,153.481,0.39,-8.200000000002206,-3198.0000000008604,sl
1456,aggressive_v2_5,BUY,2025-02-12 10:15:00,154.556,2025-02-12 10:30:00,154.326,0.39,-23.00000000000182,-8970.00000000071,sl
1457,aggressive_v2_5,BUY,2025-02-12 11:45:00,154.625,2025-02-12 12:00:00,154.484,0.39,-14.099999999999113,-5498.999999999654,sl
1458,aggressive_v2_5,SELL,2025-02-12 17:00:00,154.321,2025-02-12 18:15:00,154.421,0.39,-9.999999999999432,-3899.999999999778,sl
1459,aggressive_v2_5,SELL,2025-02-12 19:15:00,154.237,2025-02-12 19:45:00,154.536,0.39,-29.90000000000066,-11661.000000000256,sl
1460,aggressive_v2_5,SELL,2025-02-13 10:15:00,153.38199999999998,2025-02-13 10:30:00,153.2,0.39,18.199999999998795,7097.99999999953,tp
1461,aggressive_v2_5,SELL,2025-02-16 22:15:00,151.643,2025-02-16 23:15:00,151.736,0.39,-9.299999999998931,-3626.9999999995835,sl
1462,aggressive_v2_5,SELL,2025-02-17 11:00:00,151.38899999999998,2025-02-17 16:15:00,151.471,0.39,-8.200000000002206,-3198.0000000008604,sl
1463,aggressive_v2_5,SELL,2025-02-17 14:00:00,151.385,2025-02-17 16:15:00,151.471,0.39,-8.600000000001273,-3354.0000000004966,sl
1464,aggressive_v2_5,BUY,2025-02-17 20:00:00,151.66400000000002,2025-02-17 21:30:00,151.833,0.39,16.899999999998272,6590.999999999326,tp
1465,aggressive_v2_5,BUY,2025-02-18 15:30:00,152.042,2025-02-18 18:45:00,151.92,0.39,-12.20000000000141,-4758.000000000549,sl
1466,aggressive_v2_5,SELL,2025-02-18 19:15:00,151.928,2025-02-18 19:45:00,152.074,0.39,-14.6000000000015,-5694.000000000586,sl
1467,aggressive_v2_5,BUY,2025-02-18 21:30:00,152.037,2025-02-18 22:00:00,151.939,0.39,-9.800000000001319,-3822.0000000005143,sl
1468,aggressive_v2_5,SELL,2025-02-20 08:00:00,149.908,2025-02-20 08:45:00,150.083,0.39,-17.500000000001137,-6825.000000000444,sl
1469,aggressive_v2_5,SELL,2025-02-20 12:30:00,149.44799999999998,2025-02-20 13:15:00,149.58,0.39,-13.200000000003342,-5148.000000001303,sl
1470,stable_v2_5,BUY,2025-02-21 08:00:00,150.442,2025-02-21 09:15:00,150.262,1.95,-18.000000000000682,-35100.00000000133,sl
1471,aggressive_v2_5,SELL,2025-02-23 20:00:00,148.975,2025-02-23 20:15:00,149.076,0.39,-10.099999999999909,-3938.9999999999645,sl
1473,aggressive_v2_5,BUY,2025-02-24 18:30:00,149.83200000000002,2025-02-24 19:00:00,150.049,0.39,21.699999999998454,8462.999999999396,tp
1472,stable_v2_5,BUY,2025-02-24 14:00:00,149.64000000000001,2025-02-24 19:30:00,150.111,1.95,47.09999999999752,91844.99999999517,tp
